,price,rating,brand,ram,ssd_storage,color,processor
61,194990.0,4,Apple,24.0,1024,Silver,Unknown
62,47990.0,3,Acer,8.0,512,Silver,AMD
63,67999.0,4,Lenovo,16.0,512,Grey,AMD
64,39890.0,3,Acer,12.0,512,Silver,Intel
65,48990.0,3,Asus,8.0,512,Silver,AMD
66,84990.0,4,Hp,16.0,1024,Silver,Snapdragon
67,98990.0,3,Lenovo,16.0,512,Grey,Intel
68,56690.0,3,Lenovo,16.0,512,Grey,AMD
69,77990.0,3,Hp,16.0,512,Silver,Intel
70,53490.0,4,Lenovo,15.20558882235529,512,Grey,AMD
71,31990.0,4,Primebook,8.0,512,Gray,MediaTek
72,69990.0,3,Hp,16.0,512,Silver,Snapdragon
73,49990.0,3,Acer,8.0,512,Silver,AMD
74,64390.0,3,Acer,15.20558882235529,512,Silver,Intel
75,77990.0,3,Hp,16.0,512,Silver,Intel
76,31990.0,4,Primebook,8.0,512,Gray,MediaTek
77,73990.0,4,Apple,8.0,256,Grey,Unknown
78,85990.0,4,Hp,16.0,1024,Silver,Snapdragon
79,45990.0,3,Acer,8.0,256,Silver,AMD
80,129990.0,4,Hp,8.0,1024,Silver,Intel
81,342490.0,4,Apple,24.0,2048,Silver,Unknown
82,54990.0,4,Lenovo,8.0,512,Grey,AMD
83,66690.0,5,Dell,16.0,512,Silver,Intel
84,65990.0,3,Hp,16.0,1024,Silver,Intel
85,194990.0,4,Apple,24.0,1024,Silver,Unknown
86,73990.0,4,Apple,8.0,256,Silver,Unknown
87,84990.0,2,Acer,32.0,1024,Silver,AMD
88,63990.0,4,Asus,16.0,512,Silver,Snapdragon
89,132990.0,4,Lenovo,6.0,512,Grey,AMD
90,53990.0,2,Dell,8.0,512,Black,Unknown
91,87990.0,4,Dell,16.0,512,Silver,Intel
92,49990.0,4,Acer,8.0,512,Gray,Intel
93,61500.0,4,Hp,15.20558882235529,512,Silver,Intel
94,54990.0,3,Hp,8.0,512,Silver,AMD
95,66798.0,4,Hp,8.0,512,Silver,Intel
96,70990.0,3,Lenovo,16.0,512,Grey,Intel
97,69990.0,3,Hp,16.0,512,Silver,Snapdragon
98,49990.0,3,Acer,8.0,512,Silver,AMD
99,64390.0,3,Acer,15.20558882235529,512,Silver,Intel
100,48990.0,4,Acer,8.0,256,Grey,Intel
101,42990.0,4,Asus,8.0,128,Silver,MediaTek
102,54990.0,4,Lenovo,8.0,512,Grey,AMD
103,73990.0,4,Apple,8.0,256,Grey,Unknown
104,66798.0,4,Hp,8.0,512,Silver,Intel
105,61200.0,4,Lenovo,16.0,512,Grey,AMD
106,68490.0,3,Lenovo,16.0,512,Grey,AMD
107,73990.0,4,Apple,8.0,256,Silver,Unknown
108,69990.0,3,Hp,16.0,512,Silver,Snapdragon
109,79589.0,4,Lenovo,15.20558882235529,512,Grey,Intel
110,342490.0,4,Apple,24.0,2048,Silver,Unknown
111,79990.0,4,Hp,16.0,512,Silver,Snapdragon
112,42999.0,3,Hp,15.20558882235529,256,Black,AMD
113,54990.0,4,Asus,8.0,512,Black,AMD
114,184990.0,4,Asus,8.0,512,Gray,AMD
115,249990.0,3,Asus,8.0,512,Gray,Intel
116,91700.0,3,Lenovo,16.0,512,Silver,AMD
117,63990.0,3,Hp,16.0,512,Silver,Intel
118,59990.0,4,Acer,15.20558882235529,512,Gray,AMD
119,85890.0,4,Dell,16.0,512,Silver,Intel
120,24900.0,4,Tech,4.0,128,Silver,Unknown
121,84990.0,3,Lenovo,16.0,512,Blue,Intel
122,69990.0,3,Hp,16.0,512,Silver,Snapdragon
123,49990.0,3,Acer,8.0,512,Silver,AMD
124,342490.0,4,Apple,24.0,2048,Silver,Unknown
125,149990.0,4,Hp,8.0,1024,Black,Intel
126,68480.0,5,Hp,16.0,512,Silver,Intel
127,73490.0,2,Dell,8.0,512,Black,Intel
128,68490.0,3,Lenovo,16.0,512,Grey,AMD
129,99990.0,4,Hp,6.0,512,Silver,Intel
130,43950.0,4,Hp,8.0,256,Silver,AMD
131,64390.0,3,Acer,15.20558882235529,512,Silver,Intel
132,73990.0,4,Apple,8.0,256,Silver,Unknown
133,54650.0,3,Acer,8.0,512,Silver,Intel
134,50031.0,4,Hp,15.20558882235529,512,Silver,Intel
135,54990.0,4,Lenovo,8.0,512,Grey,AMD
136,194990.0,4,Apple,24.0,1024,Silver,Unknown
137,89990.0,5,Hp,4.0,512,Silver,Intel
138,186990.0,4,Hp,16.0,1024,Gray,Intel
139,234454.0,4,Hp,15.20558882235529,1024,Silver,Intel
140,57990.0,4,Lenovo,15.20558882235529,512,Grey,AMD
141,124886.05605786618,4,Hp,6.0,512,Blue,AMD
142,136990.0,4,Hp,8.0,1024,Black,AMD
143,169890.0,3,Lenovo,16.0,1024,Grey,AMD
144,85000.0,5,Hp,15.20558882235529,512,Grey,Intel
145,62350.0,3,Dell,15.20558882235529,512,Blue,Intel
146,166990.0,4,Hp,8.0,1024,Black,Intel
147,69990.0,3,Hp,16.0,512,Silver,Snapdragon
148,49990.0,3,Acer,8.0,512,Silver,AMD
149,342490.0,4,Apple,24.0,2048,Silver,Unknown
150,62350.0,3,Dell,15.20558882235529,512,Blue,Intel
151,85000.0,5,Hp,15.20558882235529,512,Grey,Intel
152,68490.0,3,Lenovo,16.0,512,Grey,AMD
